O que é normalização em banco de dados?;Processo de organizar tabelas para reduzir redundância e evitar anomalias de dados.
Objetivo da normalização?;Eliminar redundância, garantir consistência e facilitar manutenção.
O que são formas normais?;Regras que definem níveis de normalização de tabelas.
O que é Primeira Forma Normal (1FN)?;Elimina atributos multivalorados e garante atomicidade dos campos.
Regra principal da 1FN?;Cada campo deve conter um único valor indivisível.
Exemplo de violação da 1FN?;Coluna com lista de telefones separados por vírgula.
Como corrigir 1FN?;Criar tabela separada para valores repetidos.
O que é Segunda Forma Normal (2FN)?;Remove dependências parciais em chaves compostas.
Quando a 2FN se aplica?;Quando existe chave primária composta.
O que é dependência parcial?;Quando um atributo depende apenas de parte da chave.
Como atingir 2FN?;Separar atributos que dependem parcialmente em outra tabela.
O que é Terceira Forma Normal (3FN)?;Remove dependências transitivas.
O que é dependência transitiva?;Campo depende de outro campo não-chave.
Exemplo de dependência transitiva?;ID -> CEP -> Cidade.
Como atingir 3FN?;Mover atributos transitivos para nova tabela.
O que é BCNF (Boyce-Codd Normal Form)?;Versão mais rigorosa da 3FN.
Diferença entre 3FN e BCNF?;BCNF exige que todo determinante seja chave candidata.
Quando usar BCNF?;Sistemas críticos com forte integridade.
O que são anomalias de inserção?;Não conseguir inserir dados sem outras informações.
O que são anomalias de atualização?;Necessidade de atualizar dados duplicados.
O que são anomalias de exclusão?;Perda de dados importantes ao deletar registros.
O que é desnormalização?;Introduzir redundância proposital para melhorar performance.
Quando desnormalizar?;Sistemas analíticos ou alta performance de leitura.
O que é índice em banco de dados?;Estrutura que acelera consultas em colunas específicas.
Analogia de índice?;Índice de livro que aponta rapidamente para páginas.
Benefício principal dos índices?;Melhorar performance de SELECT.
Custo dos índices?;Aumentam uso de armazenamento e custo de INSERT/UPDATE.
O que é índice primário?;Criado automaticamente pela chave primária.
O que é índice único (UNIQUE)?;Garante valores únicos na coluna.
O que é índice composto?;Índice com múltiplas colunas.
Quando usar índice composto?;Consultas com múltiplas colunas no WHERE.
O que é índice clustered?;Define a ordem física dos dados (InnoDB usa PK).
O que é índice non-clustered?;Índice separado dos dados físicos.
O que é índice FULLTEXT?;Para buscas textuais complexas.
O que é índice HASH?;Baseado em hash, comum em memória.
